,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Surface reelle bati,Nombre pieces principales,Surface terrain
803607,02/01/2020,Vente,"268800,00",14.0,RUE,0411,DE L ARCADE,75008.0,BS,136,,31,,8.0,"22,72",,,,,,,2,2.0,24.0,1.0,
803608,06/01/2020,Vente,"878378,00",9.0,BD,5888,DE LA MADELEINE,75001.0,BC,41,,14,"66,64",15.0,,40.0,,,,,,3,2.0,66.0,2.0,
803609,06/01/2020,Vente,"878378,00",9.0,BD,5888,DE LA MADELEINE,75001.0,BC,41,,63,,,,,,,,,,1,4.0,43.0,0.0,
803610,10/01/2020,Vente,"680000,00",10.0,RUE,1200,DU BOURG L ABBE,75003.0,AV,6,,9,"50,74",,,,,,,,,1,2.0,51.0,2.0,
803611,03/01/2020,Vente,"852000,00",24.0,RUE,8716,DE SAINTONGE,75003.0,AK,80,,74,"66,00",,,,,,,,,1,2.0,19.0,1.0,
803612,03/01/2020,Vente,"852000,00",24.0,RUE,8716,DE SAINTONGE,75003.0,AK,80,,15,,74.0,"66,00",,,,,,,2,2.0,12.0,1.0,
803613,03/01/2020,Vente,"852000,00",24.0,RUE,8716,DE SAINTONGE,75003.0,AK,80,,74,"66,00",,,,,,,,,1,2.0,12.0,1.0,
803614,08/01/2020,Vente,"6000,00",7.0,AV,3824,FRANKLIN D ROOSEVELT,75008.0,AL,13,,29,,,,,,,,,,1,2.0,79.0,3.0,
803615,03/01/2020,Vente,"2350000,00",83.0,RUE,6419,DE MONCEAU,75008.0,CG,26,,4,"204,32",,,,,,,,,1,2.0,212.0,8.0,
803616,03/01/2020,Vente,"2350000,00",83.0,RUE,6419,DE MONCEAU,75008.0,CG,26,,53,,,,,,,,,,1,2.0,174.0,5.0,
803617,08/01/2020,Vente,"370000,00",79.0,RUE,0420,DES ARCHIVES,75003.0,AI,49,,35,"22,61",,,,,,,,,1,2.0,21.0,1.0,
803618,13/01/2020,Vente,"475000,00",5.0,RUE,9942,DE WASHINGTON,75008.0,AU,11,,86,"50,07",,,,,,,,,1,4.0,50.0,0.0,
803619,09/01/2020,Vente,"741500,00",131.0,RUE,8525,SAINT DENIS,75001.0,AQ,107,,23,"61,41",40.0,,,,,,,,2,2.0,61.0,2.0,
803620,07/01/2020,Vente,"7000,00",6.0,RUE,4483,DES HAUDRIETTES,75003.0,AR,5,,785,,,,,,,,,,1,2.0,41.0,1.0,
